sera,V,PUNCT,VPP,NOM,RNNinoperate,NOUN
poursuivie,V,NOUN,P,PUN,RNNinoperate,PROPN
afin,P,PUNCT,N,NOM,RNNinoperate,AUX
de,P,NOUN,V,PUN,RNNinoperate,VERB
valoriser,V,ADP,VPP,PRP:det,RNNinoperate,ADP
nos,D,NOUN,P,NOM,RNNinoperate,ADP
produits,N,PUNCT,N,KON,RNNinoperate,VERB
sur,P,NOUN,P,PRP:det,RNNinoperate,DET
le,D,PUNCT,DET,NOM,RNNinoperate,NOUN
marché,N,DET,NC,VER:pres,RNNinoperate,ADP
européen,A,NOUN,P,VER:pper,RNNinoperate,DET
avec,P,CCONJ,DET,PRP:det,RNNinoperate,NOUN
une,D,DET,N,NOM,RNNinoperate,ADJ
image,N,NOUN,P,PRP:det,RNNinoperate,ADP
unifiée,V,AUX,NC,NOM,RNNinoperate,DET
.,PONCT,VERB,P,DET:ART,RNNinoperate,NOUN
Un,D,DET,P,NOM,RNNinoperate,VERB
groupe,N,NOUN,VINF,PRP,RNNinoperate,PUNCT
interministériel,A,DET,DET,DET:ART,RNNinoperate,DET
proposera,V,NOUN,NC,NOM,RNNinoperate,NOUN
au,P+D,DET,P,ADJ,RNNinoperate,ADJ
gouvernement,N,NOUN,NC,PRP,RNNinoperate,VERB
les,D,ADP,ADJ,NUM,RNNinoperate,ADP+DET
orientations,N,DET,P,PUN,RNNinoperate,NOUN
de,P,NOUN,DET,DET:ART,RNNinoperate,DET
la,D,ADJ,NC,NOM,RNNinoperate,NOUN
politique,N,ADP,VPR,PRP:det,RNNinoperate,ADP
nationale,A,NUM,P,NUM,RNNinoperate,DET
des,P+D,PUNCT,VINF,NOM,RNNinoperate,NOUN
normes,N,DET,DET,PUN,RNNinoperate,ADJ
.,PONCT,NOUN,NC,SENT,RNNinoperate,ADP+DET
Un,D,ADJ,P,DET:ART,RNNinoperate,NOUN
délégué,N,NUM,NC,NOM,RNNinoperate,PUNCT
aux,P+D,NOUN,PUNC,PRP,RNNinoperate,DET
normes,N,PUNCT,P,NOM,RNNinoperate,NOUN
",",PONCT,PUNCT,NC,PUN,RNNinoperate,ADP+DET
placé,V,DET,CC,NOM,RNNinoperate,NOUN
auprès,P,NOUN,P,KON,RNNinoperate,PUNCT
du,P+D,ADP,NC,PRP,RNNinoperate,VERB
ministre,N,NOUN,PUNC,NOM,RNNinoperate,ADP
chargé,A,PUNCT,DET,PUN,RNNinoperate,ADP+DET
de,P,NOUN,NC,NOM,RNNinoperate,NOUN
l',D,CCONJ,P,PRP:det,RNNinoperate,VERB
industrie,N,ADP,ADJ,NOM,RNNinoperate,ADP
veillera,V,NOUN,NC,VER:pres,RNNinoperate,DET
à,P,PUNCT,P,VER:pper,RNNinoperate,NOUN
la,D,NOUN,NC,PRP:det,RNNinoperate,VERB
mise,N,DET,V,NOM,RNNinoperate,ADP
en,P,NOUN,VPP,PRP:det,RNNinoperate,DET
oeuvre,N,AUX,PUNC,NOM,RNNinoperate,NOUN
de,P,VERB,DET,DET:ART,RNNinoperate,ADP
ces,D,DET,NC,NOM,RNNinoperate,NOUN
orientations,N,NOUN,ADJ,PRP,RNNinoperate,ADP
en,P,DET,V,DET:ART,RNNinoperate,DET
liaison,N,NOUN,VPP,NOM,RNNinoperate,NOUN
avec,P,DET,P,PRP,RNNinoperate,ADP
les,D,NOUN,VINF,DET:ART,RNNinoperate,NOUN
ministères,N,ADP,DET,NOM,RNNinoperate,ADP
intéressés,A,DET,NC,PRP:det,RNNinoperate,DET
.,PONCT,NOUN,P,NOM,RNNinoperate,NOUN
Le,D,ADP,NC,SENT,RNNinoperate,ADJ
conseil,N,DET,PUNC,DET:ART,RNNinoperate,PUNCT
supérieur,A,NOUN,DET,NOM,RNNinoperate,DET
de,P,DET,NC,VER:pres,RNNinoperate,NOUN
la,D,NOUN,ADJ,DET:ART,RNNinoperate,ADJ
normalisation,N,PUNCT,P,NOM,RNNinoperate,ADP
et,C,DET,NC,ADJ,RNNinoperate,DET
le,D,NOUN,P,PRP,RNNinoperate,NOUN
titre,N,VERB,NC,DET:ART,RNNinoperate,CCONJ
de,P,DET,P,NOM,RNNinoperate,DET
commissaire,N,NOUN,DET,PRP,RNNinoperate,NOUN
à,P,ADJ,NC,DET:ART,RNNinoperate,ADP
la,D,ADP,P,NOM,RNNinoperate,NOUN
normalisation,N,DET,NC,PRO:REL,RNNinoperate,ADP
sont,V,NOUN,ADV,VER:pres,RNNinoperate,DET
supprimés,V,ADP,ADJ,ADV,RNNinoperate,NOUN
.,PONCT,DET,ADV,ADV,RNNinoperate,AUX
Le,D,NOUN,P,VER:infi,RNNinoperate,VERB
système,N,PRON,DET,PRP:det,RNNinoperate,PUNCT
français,A,VERB,NC,NOM,RNNinoperate,DET
de,P,ADV,NPP,PRP:det,RNNinoperate,NOUN
normes,N,ADV,V,NOM,RNNinoperate,ADJ
est,V,VERB,VPP,ADJ,RNNinoperate,ADP
aujourd',P,DET,P,KON,RNNinoperate,NOUN
hui,N,NOUN,P,ADJ,RNNinoperate,AUX
le,D,DET,VINF,SENT,RNNinoperate,VERB
deuxième,A,NOUN,DET,DET:ART,RNNinoperate,PUNCT
d',P,ADJ,NC,NOM,RNNinoperate,NOUN
Europe,N,CCONJ,P,ADJ,RNNinoperate,DET
.,PONCT,ADJ,DET,ADJ,RNNinoperate,ADJ
Or,C,PUNCT,N,PUN,RNNinoperate,ADP
quatre,D,DET,ADJ,PRO:PER,RNNinoperate,PROPN
mille,D,NOUN,P,PUN,RNNinoperate,PUNCT
nouvelles,A,ADJ,DET,ADJ,RNNinoperate,CCONJ
normes,N,ADJ,NC,PUN,RNNinoperate,ADV
européennes,A,PUNCT,VPP,VER:pper,RNNinoperate,ADJ
doivent,V,PRON,PUNC,PUN,RNNinoperate,NOUN
être,V,PUNCT,DET,VER:pres,RNNinoperate,ADJ
adoptées,V,ADV,NC,ADV,RNNinoperate,VERB
d',P,PUNCT,ADJ,PRP,RNNinoperate,AUX
ici,ADV,NOUN,V,NOM,RNNinoperate,VERB
à,P,PUNCT,P,ADJ,RNNinoperate,ADP
1992,N,NOUN,NC,PRO:REL,RNNinoperate,ADV
.,PONCT,ADV,DET,PRO:PER,RNNinoperate,ADP
C',CL,ADP,NC,VER:pres,RNNinoperate,NUM
est,V,NOUN,P,ADV,RNNinoperate,PUNCT
pourquoi,ADV,ADJ,DET,PRP:det,RNNinoperate,PRON
le,D,PRON,N,NOM,RNNinoperate,VERB
gouvernement,N,PRON,ADJ,ADJ,RNNinoperate,ADV
encouragera,V,VERB,P,SENT,RNNinoperate,DET
la,D,ADV,NC,DET:ART,RNNinoperate,NOUN
mobilisation,N,ADP,PUNC,NOM,RNNinoperate,VERB
des,P+D,NOUN,DET,VER:pres,RNNinoperate,DET
entreprises,N,ADJ,NC,VER:infi,RNNinoperate,NOUN
pour,P,PUNCT,P,VER:pper,RNNinoperate,ADP+DET
animer,V,DET,NC,PRP,RNNinoperate,NOUN
les,D,NOUN,PUNC,KON,RNNinoperate,ADP
instances,N,VERB,VPP,PRO:DEM,RNNinoperate,VERB
européennes,A,AUX,P,NOM,RNNinoperate,DET
",",PONCT,VERB,P,VER:pres,RNNinoperate,NOUN
leur,CL,ADP,NC,PRP,RNNinoperate,ADJ
permettra,V,SCONJ,VPP,NOM,RNNinoperate,PUNCT
de,P,DET,P,DET:ART,RNNinoperate,PRON
mieux,ADV,NOUN,DET,NOM,RNNinoperate,VERB
défendre,V,VERB,NC,PRP:det,RNNinoperate,ADP
leurs,D,ADP,V,NOM,RNNinoperate,ADV
atouts,N,NOUN,P,NOM,RNNinoperate,VERB
et,C,DET,DET,PUN,RNNinoperate,DET
accompagnera,V,NOUN,N,ADJ,RNNinoperate,NOUN
les,D,DET,P,KON,RNNinoperate,CCONJ
actions,N,NOUN,N,VER:pres,RNNinoperate,VERB
des,P+D,ADJ,P,DET:ART,RNNinoperate,DET
laboratoires,N,PUNCT,DET,NOM,RNNinoperate,NOUN
d',P,ADJ,NC,KON,RNNinoperate,ADP+DET
essais,N,CCONJ,P,PRO:PER,RNNinoperate,NOUN
et,C,VERB,N,VER:infi,RNNinoperate,ADP
des,P+D,DET,P,PUN,RNNinoperate,NOUN
organismes,N,NOUN,DET,VER:infi,RNNinoperate,CCONJ
certificateurs,A,CCONJ,NC,PRP:det,RNNinoperate,ADP+DET
pour,P,PRON,ADJ,NOM,RNNinoperate,NOUN
s',CL,VERB,PUNC,ADJ,RNNinoperate,ADJ
adapter,V,PUNCT,DET,SENT,RNNinoperate,ADP
au,P+D,VERB,N,DET:ART,RNNinoperate,PRON
cadre,N,DET,ADJ,NOM,RNNinoperate,VERB
européen,A,NOUN,P,PUN:cit,RNNinoperate,ADP+DET
.,PONCT,ADJ,DET,NOM,RNNinoperate,NOUN
Le,D,PUNCT,NC,KON,RNNinoperate,ADJ
ministre,N,DET,CC,NOM,RNNinoperate,PUNCT
des,P+D,NOUN,DET,NUM,RNNinoperate,DET
postes,N,PUNCT,NC,PUN:cit,RNNinoperate,NOUN
",",PONCT,NOUN,P,PUN,RNNinoperate,ADP+DET
des,P+D,CCONJ,NC,PRO:REL,RNNinoperate,NOUN
télécommunications,N,NOUN,P,VER:pres,RNNinoperate,PUNCT
et,C,NUM,DET,ADV,RNNinoperate,ADP+DET
de,P,PUNCT,NC,NUM,RNNinoperate,NOUN
l',D,PUNCT,V,NOM,RNNinoperate,CCONJ
espace,N,PRON,VPP,NOM,RNNinoperate,ADP
a,V,VERB,PUNC,ADJ,RNNinoperate,DET
rendu,V,ADV,DET,PUN,RNNinoperate,NOUN
compte,N,NUM,NC,VER:pper,RNNinoperate,AUX
au,P+D,NOUN,ADJ,PRP,RNNinoperate,VERB
conseil,N,NOUN,P,NUM,RNNinoperate,NOUN
des,P+D,NOUN,NC,NOM,RNNinoperate,ADP+DET
ministres,N,PUNCT,V,ADJ,RNNinoperate,NOUN
de,P,NOUN,ADJ,PUN,RNNinoperate,ADP+DET
la,D,ADP,P,VER:futu,RNNinoperate,NOUN
signature,N,NUM,N,VER:pper,RNNinoperate,ADP
à,P,NOUN,DET,SENT,RNNinoperate,DET
Moscou,N,ADJ,ADJ,NOM,RNNinoperate,NOUN
des,P+D,PUNCT,P,PRP:det,RNNinoperate,ADP
accords,N,AUX,NPP,NOM,RNNinoperate,PROPN
franco,A,VERB,PUNC,ADJ,RNNinoperate,ADP+DET
-,PONCT,PUNCT,CC,PUN,RNNinoperate,NOUN
soviétiques,A,NOUN,DET,NOM,RNNinoperate,ADJ
sur,P,DET,DET,NOM,RNNinoperate,PUNCT
le,D,NOUN,ADJ,PUN,RNNinoperate,ADJ
vol,N,NOUN,NC,DET:ART,RNNinoperate,ADP
habité,A,PUNCT,ADJ,NOM,RNNinoperate,DET
Antares,N,NOUN,V,PUN,RNNinoperate,NOUN
.,PONCT,ADJ,VINF,ADV,RNNinoperate,ADJ
La,D,PUNCT,VPP,ADJ,RNNinoperate,PROPN
coopération,N,DET,P,KON,RNNinoperate,PUNCT
spatiale,A,NOUN,ADV,ADJ,RNNinoperate,DET
entre,P,PUNCT,P,PUN,RNNinoperate,NOUN
la,D,ADV,N,VER:futu,RNNinoperate,ADJ
France,N,ADJ,PUNC,VER:infi,RNNinoperate,ADP
et,C,CCONJ,N,DET:POS,RNNinoperate,DET
l',D,ADJ,ADJ,NOM,RNNinoperate,PROPN
Union,N,PUNCT,V,PRP,RNNinoperate,CCONJ
soviétique,A,AUX,CS,NOM,RNNinoperate,DET
a,V,VERB,DET,SENT,RNNinoperate,PROPN
reçu,V,DET,NC,DET:ART,RNNinoperate,ADJ
un,D,NOUN,V,NOM,RNNinoperate,AUX
nouvel,A,ADP,DET,VER:futu,RNNinoperate,VERB
élan,N,NOUN,NC,VER:pper,RNNinoperate,DET
à,P,PUNCT,P,PRP:det,RNNinoperate,ADJ
la,D,DET,NC,NOM,RNNinoperate,NOUN
suite,N,NOUN,P,ADJ,RNNinoperate,ADP
de,P,AUX,VINF,PRP,RNNinoperate,DET
la,D,VERB,DET,NOM,RNNinoperate,NOUN
signature,N,DET,NC,PUN,RNNinoperate,ADP
d',P,NOUN,ADJ,ADV,RNNinoperate,DET
un,D,ADJ,PUNC,VER:pper,RNNinoperate,NOUN
protocole,N,ADP,CLO,PRP,RNNinoperate,ADP
et,C,NOUN,V,NOM,RNNinoperate,DET
d',P,PUNCT,P,PUN,RNNinoperate,NOUN
un,D,ADV,ADV,NOM,RNNinoperate,CCONJ
accord,N,VERB,VINF,ADJ,RNNinoperate,ADP
-,PONCT,ADP,DET,PRP,RNNinoperate,DET
cadre,N,NOUN,NC,NOM,RNNinoperate,NOUN
entre,P,PUNCT,CC,SENT,RNNinoperate,PUNCT
les,D,NOUN,V,NUM,RNNinoperate,NOUN
autorités,N,ADJ,DET,PUN,RNNinoperate,ADP
spatiales,A,ADP,NC,NOM,RNNinoperate,DET
françaises,A,NOUN,P,PUN:cit,RNNinoperate,NOUN
et,C,PUNCT,NC,NOM,RNNinoperate,ADJ
soviétiques,A,NOUN,P,NUM,RNNinoperate,ADJ
.,PONCT,PUNCT,NC,PUN:cit,RNNinoperate,CCONJ
Cette,D,NOUN,CC,VER:pper,RNNinoperate,ADJ
coopération,N,PUNCT,P,PRP,RNNinoperate,PUNCT
",",PONCT,NOUN,NC,NUM,RNNinoperate,DET
relancée,V,PRON,ADJ,VER:pres,RNNinoperate,NOUN
lors,ADV,PUNCT,P,VER:pper,RNNinoperate,PUNCT
des,P+D,VERB,ET,PRP,RNNinoperate,VERB
“,PONCT,ADP,ET,NUM,RNNinoperate,ADV
sommets,N,NUM,VINF,PRP,RNNinoperate,ADP+DET
“,PONCT,AUX,P,DET:ART,RNNinoperate,PUNCT
franco,A,VERB,N,NOM,RNNinoperate,NOUN
-,PONCT,ADP,ADJ,PRP,RNNinoperate,PUNCT
soviétiques,A,NUM,PUNC,NUM,RNNinoperate,ADJ
de,P,ADP,DET,NOM,RNNinoperate,PUNCT
novembre,N,DET,NC,PRP,RNNinoperate,ADJ
1988,N,NOUN,P,NOM,RNNinoperate,ADP
et,C,ADP,NC,KON,RNNinoperate,NOUN
juillet,N,NUM,PUNC,PRP,RNNinoperate,NUM
1989,N,NOUN,P,VER:infi,RNNinoperate,CCONJ
",",PONCT,ADP,NC,DET:ART,RNNinoperate,NOUN
sera,V,NOUN,CC,NOM,RNNinoperate,NUM
élargie,V,ADP,P,ADJ,RNNinoperate,PUNCT
à,P,ADP,DET,PUN,RNNinoperate,AUX
des,D,VERB,NC,NOM,RNNinoperate,VERB
thèmes,N,DET,V,ADJ,RNNinoperate,ADP
nouveaux,A,NOUN,VPP,PRP,RNNinoperate,DET
comme,P,NOUN,NC,PRO:IND,RNNinoperate,NOUN
les,D,PUNCT,P,NOM,RNNinoperate,ADJ
vols,N,NOUN,N,VER:ppre,RNNinoperate,ADP
habités,A,VERB,P,PRP,RNNinoperate,DET
",",PONCT,ADP,N,VER:infi,RNNinoperate,NOUN
l',D,DET,P,DET:ART,RNNinoperate,ADJ
étude,N,NOUN,DET,NOM,RNNinoperate,PUNCT
de,P,VERB,NC,PRP,RNNinoperate,DET
l',D,ADP,P,NOM,RNNinoperate,NOUN
environnement,N,VERB,NPP,PUN,RNNinoperate,ADP
de,P,DET,P,PRP,RNNinoperate,DET
la,D,NOUN,NC,NOM,RNNinoperate,NOUN
terre,N,ADP,ADJ,KON,RNNinoperate,ADP
et,C,NOUN,PUNC,NOM,RNNinoperate,DET
l',D,PUNCT,ADJ,PUN,RNNinoperate,NOUN
étude,N,ADP,P,NOM,RNNinoperate,CCONJ
de,P,NOUN,DET,PUN,RNNinoperate,DET
la,D,CCONJ,NC,DET:ART,RNNinoperate,NOUN
planète,N,NOUN,ADJ,NOM,RNNinoperate,ADP
Mars,N,PUNCT,NPP,PRP,RNNinoperate,DET
.,PONCT,NOUN,PUNC,ADJ,RNNinoperate,NOUN
Ces,D,PUNCT,DET,NOM,RNNinoperate,PROPN
accords,N,DET,NC,PRP,RNNinoperate,PUNCT
sont,V,NOUN,ADJ,NOM,RNNinoperate,DET
accompagnés,V,ADP,P,VER:futu,RNNinoperate,NOUN
d',P,ADJ,DET,VER:pper,RNNinoperate,AUX
un,D,NOUN,NPP,PUN,RNNinoperate,VERB
accord,N,ADP,CC,DET:ART,RNNinoperate,ADP
particulier,A,NOUN,DET,NOM,RNNinoperate,DET
pour,P,AUX,N,ADJ,RNNinoperate,NOUN
la,D,VERB,ADJ,VER:futu,RNNinoperate,ADJ
réalisation,N,PUNCT,V,VER:pper,RNNinoperate,ADP
d',P,DET,VPP,PRP,RNNinoperate,DET
un,D,NOUN,DET,VER:infi,RNNinoperate,NOUN
vol,N,ADJ,ADJ,DET:POS,RNNinoperate,ADP
habité,A,AUX,NC,NOM,RNNinoperate,DET
dès,P,VERB,P,PRP,RNNinoperate,NOUN
1992,N,ADP,DET,NOM,RNNinoperate,ADJ
.,PONCT,VERB,N,SENT,RNNinoperate,ADP
Ce,D,DET,P,DET:ART,RNNinoperate,NUM
vol,N,NOUN,DET,NOM,RNNinoperate,PUNCT
",",PONCT,ADP,NC,ADJ,RNNinoperate,DET
baptisé,V,NOUN,P,PRP,RNNinoperate,NOUN
Antares,N,PUNCT,DET,NOM,RNNinoperate,PUNCT
",",PONCT,DET,NC,PRP:det,RNNinoperate,VERB
permettra,V,NOUN,CC,NOM,RNNinoperate,PROPN
à,P,ADJ,P,PRP,RNNinoperate,PUNCT
un,D,ADP,DET,DET:ART,RNNinoperate,VERB
cosmonaute,N,NOUN,NC,NOM,RNNinoperate,ADP
français,A,DET,PUNC,PRP:det,RNNinoperate,DET
de,P,NOUN,N,NOM,RNNinoperate,NOUN
séjourner,V,ADP,P,ADV,RNNinoperate,ADJ
douze,D,DET,DET,ADJ,RNNinoperate,ADP
jours,N,NOUN,NC,ADV,RNNinoperate,VERB
à,P,DET,ADJ,PRP,RNNinoperate,NUM
bord,N,NOUN,ADJ,DET:ART,RNNinoperate,NOUN
de,P,ADV,CC,NOM,RNNinoperate,ADP
la,D,ADJ,ADJ,NAM,RNNinoperate,NOUN
station,N,ADV,PUNC,VER:futu,RNNinoperate,ADP
Mir,N,ADP,DET,VER:pper,RNNinoperate,DET
.,PONCT,DET,NC,KON,RNNinoperate,NOUN
Le,D,NOUN,PUNC,PRP,RNNinoperate,PROPN
débat,N,NOUN,VPP,VER:infi,RNNinoperate,PUNCT
au,P+D,AUX,ADV,DET:POS,RNNinoperate,DET
parlement,N,VERB,P,NOM,RNNinoperate,NOUN
européen,A,ADP,PUNC,PRP,RNNinoperate,ADP+DET
qui,PRO,ADP,NC,DET:ART,RNNinoperate,NOUN
a,V,VERB,PUNC,NOM,RNNinoperate,ADJ
suivi,V,DET,ADJ,ADJ,RNNinoperate,PRON
la,D,NOUN,PUNC,PRP,RNNinoperate,AUX
présentation,N,ADP,ADJ,DET:ART,RNNinoperate,VERB
",",PONCT,DET,P,NOM,RNNinoperate,DET
mercredi,N,NOUN,NC,VER:pper,RNNinoperate,NOUN
17,A,ADJ,N,SENT,RNNinoperate,PUNCT
janvier,N,ADP,CC,DET:ART,RNNinoperate,NOUN
",",PONCT,DET,NC,NOM,RNNinoperate,NUM
par,P,NOUN,N,ADJ,RNNinoperate,NOUN
Mr,N,VERB,PUNC,VER:futu,RNNinoperate,PUNCT
Jacques,N,PUNCT,V,PRP:det,RNNinoperate,ADP
Delors,N,DET,VPP,NOM,RNNinoperate,NOUN
du,P+D,NOUN,P,DET:ART,RNNinoperate,PROPN
programme,N,ADJ,DET,NOM,RNNinoperate,PROPN
de,P,VERB,NC,PRP,RNNinoperate,ADP+DET
la,D,PRON,ADJ,DET:ART,RNNinoperate,NOUN
commission,N,VERB,P,NOM,RNNinoperate,ADP
européenne,A,DET,DET,ADJ,RNNinoperate,DET
pour,P,NOUN,NC,PRP:det,RNNinoperate,NOUN
1990,N,ADP,ADJ,NOM,RNNinoperate,ADJ
a,V,DET,PUNC,SENT,RNNinoperate,ADP
donné,V,NOUN,DET,DET:ART,RNNinoperate,NUM
lieu,N,ADJ,NC,NOM,RNNinoperate,AUX
à,P,DET,P,PRP:det,RNNinoperate,VERB
une,D,NOUN,DET,NOM,RNNinoperate,NOUN
surprise,N,PUNCT,NC,PUN,RNNinoperate,ADP
de,P,DET,P,VER:pper,RNNinoperate,DET
taille,N,NOUN,DET,ADV,RNNinoperate,NOUN
.,PONCT,ADP,NC,PRP:det,RNNinoperate,ADP
Mr,N,NOUN,CC,NOM,RNNinoperate,NOUN
Jean,N,PUNCT,DET,VER:pper,RNNinoperate,PUNCT
-,PONCT,VERB,NC,PRP,RNNinoperate,NOUN
Pierre,N,ADP,P,NOM,RNNinoperate,PROPN
Cot,N,DET,DET,PUN,RNNinoperate,PUNCT
"(",PONCT,NOUN,NC,NOM,RNNinoperate,PROPN
PS,N,VERB,NPP,VER:futu,RNNinoperate,PROPN
")",PONCT,ADP,PUNC,PRP,RNNinoperate,PUNCT
",",PONCT,NOUN,DET,DET:ART,RNNinoperate,PROPN
s',CL,PUNCT,NC,NOM,RNNinoperate,PUNCT
est,V,NOUN,V,PRP,RNNinoperate,PUNCT
livré,V,VERB,VPP,NOM,RNNinoperate,PRON
à,P,ADP,P,PRP,RNNinoperate,AUX
une,D,DET,DET,PRO:DEM,RNNinoperate,VERB
violente,A,NOUN,NC,NOM,RNNinoperate,ADP
attaque,N,ADP,ADJ,PRP,RNNinoperate,DET
contre,P,NOUN,P,NOM,RNNinoperate,ADJ
l',D,ADP,DET,PRP,RNNinoperate,NOUN
action,N,DET,NC,DET:ART,RNNinoperate,ADP
du,P+D,NOUN,P,NOM,RNNinoperate,DET
président,N,ADP,DET,ADJ,RNNinoperate,NOUN
de,P,NOUN,NC,SENT,RNNinoperate,ADP+DET
l',D,ADP,ADJ,DET:ART,RNNinoperate,NOUN
exécutif,N,DET,P,NOM,RNNinoperate,ADP
des,P+D,NOUN,N,ADJ,RNNinoperate,DET
douze,PRO,VERB,PUNC,PRP,RNNinoperate,ADJ
.,PONCT,PUNCT,DET,DET:ART,RNNinoperate,ADP+DET
Le,D,DET,NC,NOM,RNNinoperate,NUM
reste,N,NOUN,PUNC,KON,RNNinoperate,PUNCT
des,P+D,ADJ,VPP,DET:ART,RNNinoperate,DET
interventions,N,ADP,NPP,NOM,RNNinoperate,NOUN
a,V,DET,PUNC,PRP,RNNinoperate,ADP+DET
été,V,NOUN,V,NOM,RNNinoperate,NOUN
",",PONCT,CCONJ,P,PRP,RNNinoperate,AUX
dans,P,DET,DET,DET:ART,RNNinoperate,VERB
l',D,NOUN,NC,NOM,RNNinoperate,PUNCT
ensemble,N,ADP,ADJ,VER:pres,RNNinoperate,ADP
",",PONCT,NOUN,P,VER:pper,RNNinoperate,DET
plutôt,ADV,ADP,VINF,SENT,RNNinoperate,NOUN
décevant,A,DET,DET,DET:ART,RNNinoperate,PUNCT
",",PONCT,NOUN,NC,NOM,RNNinoperate,ADV
les,D,AUX,P,ADJ,RNNinoperate,ADJ
ténors,N,VERB,N,PRP,RNNinoperate,PUNCT
de,P,PUNCT,P,NOM,RNNinoperate,DET
l',D,DET,DET,VER:pres,RNNinoperate,NOUN
Assemblée,N,NOUN,NC,ADJ,RNNinoperate,ADP
ignorant,V,ADJ,NPP,PUN,RNNinoperate,DET
la,D,ADP,PUNC,VER:pper,RNNinoperate,NOUN
possibilité,N,NOUN,DET,DET:ART,RNNinoperate,VERB
évoquée,V,AUX,NC,NUM,RNNinoperate,DET
par,P,VERB,P,NOM,RNNinoperate,NOUN
Mr,N,PUNCT,NC,PUN,RNNinoperate,VERB
Delors,N,NOUN,ADJ,NAM,RNNinoperate,ADP
pour,P,DET,PROREL,SENT,RNNinoperate,NOUN
l',D,ADJ,V,NOM,RNNinoperate,PROPN
Allemagne,N,NOUN,VPP,NUM,RNNinoperate,ADP
de,P,PUNCT,DET,NUM,RNNinoperate,DET
l',D,PROPN,NC,ADJ,RNNinoperate,PROPN
Est,N,PUNCT,PUNC,NOM,RNNinoperate,ADP
d',P,CCONJ,NC,ADJ,RNNinoperate,DET
adhérer,V,NUM,ADJ,VER:pres,RNNinoperate,PROPN
",",PONCT,AUX,NC,VER:infi,RNNinoperate,ADP
dans,P,ADJ,PUNC,VER:pper,RNNinoperate,VERB
un,D,NOUN,P,NOM,RNNinoperate,PUNCT
avenir,N,ADJ,NC,PUN,RNNinoperate,ADP
prévisible,A,VERB,NPP,ADV,RNNinoperate,DET
",",PONCT,AUX,NPP,PRP,RNNinoperate,NOUN
à,P,VERB,P,NUM,RNNinoperate,ADJ
la,D,NOUN,NC,SENT,RNNinoperate,PUNCT
communauté,N,PUNCT,P,NUM,RNNinoperate,ADP
.,PONCT,ADV,DET,PUN,RNNinoperate,DET
Le,D,ADP,NC,VER:pres,RNNinoperate,NOUN
président,N,NUM,ADJ,ADV,RNNinoperate,PUNCT
des,P+D,PUNCT,P,DET:ART,RNNinoperate,DET
socialistes,N,NOUN,N,NOM,RNNinoperate,NOUN
européens,A,PUNCT,V,VER:futu,RNNinoperate,ADP+DET
a,V,VERB,V,DET:ART,RNNinoperate,NOUN
dressé,V,ADV,N,NOM,RNNinoperate,ADJ
une,D,DET,P,PRP:det,RNNinoperate,AUX
liste,N,NOUN,DET,NOM,RNNinoperate,VERB
des,P+D,VERB,NC,PRP,RNNinoperate,DET
dossiers,N,DET,P,VER:infi,RNNinoperate,NOUN
sur,P,NOUN,NC,DET:ART,RNNinoperate,ADP+DET
lesquels,PRO,DET,PUNC,NOM,RNNinoperate,NOUN
",",PONCT,NOUN,NC,ADJ,RNNinoperate,ADP
selon,P,ADP,N,PUN,RNNinoperate,PRON
lui,PRO,VERB,PUNC,PRO:PER,RNNinoperate,PUNCT
",",PONCT,DET,N,VER:futu,RNNinoperate,ADP
“,PONCT,NOUN,NPP,PRP,RNNinoperate,PRON
la,D,ADJ,PUNC,ADV,RNNinoperate,PUNCT
commission,N,PUNCT,NPP,VER:infi,RNNinoperate,PUNCT
a,V,DET,PUNC,DET:POS,RNNinoperate,DET
dérapé,V,ADJ,PUNC,NOM,RNNinoperate,NOUN
“,PONCT,ADP,ET,KON,RNNinoperate,AUX
.,PONCT,ADV,ET,VER:futu,RNNinoperate,VERB
Bruxelles,N,VERB,V,DET:ART,RNNinoperate,PUNCT
“,PONCT,DET,VPP,NOM,RNNinoperate,PUNCT
fait,V,NOUN,P,PRP:det,RNNinoperate,PROPN
trop,ADV,CCONJ,DET,NOM,RNNinoperate,PUNCT
souvent,ADV,VERB,ADJ,ADJ,RNNinoperate,VERB
affaire,N,DET,NC,PUN,RNNinoperate,ADV
avec,P,NOUN,P,NOM,RNNinoperate,ADV
le,D,DET,DET,KON,RNNinoperate,NOUN
conseil,N,NOUN,NC,PRP:det,RNNinoperate,ADP
des,P+D,NOUN,P,NOM,RNNinoperate,DET
ministres,N,PUNCT,NC,NOM,RNNinoperate,NOUN
dans,P,NOUN,P,PRP,RNNinoperate,ADP+DET
le,D,CCONJ,DET,NOM,RNNinoperate,NOUN
dos,N,DET,NC,PUN,RNNinoperate,ADP
du,P+D,NOUN,P,VER:infi,RNNinoperate,DET
parlement,N,NOUN,ADJ,PRP:det,RNNinoperate,NOUN
“,PONCT,ADP,PUNC,NOM,RNNinoperate,ADP+DET
",",PONCT,NOUN,DET,ADJ,RNNinoperate,NOUN
a,V,PUNCT,NC,SENT,RNNinoperate,PUNCT
estimé,V,VERB,P,DET:ART,RNNinoperate,PUNCT
d',P,DET,NC,NOM,RNNinoperate,AUX
autre,A,NOUN,V,PRP:det,RNNinoperate,VERB
part,N,ADJ,VPP,NOM,RNNinoperate,ADP
Mr,N,PUNCT,PUNC,PUN,RNNinoperate,ADJ
